date,store_number,sales_amount
12-02-2010,45,656988.64
19-02-2010,1,1611968.17
19-02-2010,2,2124451.54
19-02-2010,3,421642.19
19-02-2010,4,2049860.26
19-02-2010,5,303447.57
19-02-2010,6,1567138.07
19-02-2010,7,506760.54
19-02-2010,8,963960.37
19-02-2010,9,511327.9
19-02-2010,10,2113432.58
19-02-2010,11,1503298.7
19-02-2010,12,1095421.65
19-02-2010,13,1970274.64
19-02-2010,14,2204556.7
19-02-2010,15,660838.75
19-02-2010,16,469868.7
19-02-2010,17,800714
19-02-2010,18,1150663.42
19-02-2010,19,1515976.11
19-02-2010,20,2161549.76
19-02-2010,21,867283.25
19-02-2010,22,988467.61
19-02-2010,23,1319588.04
19-02-2010,24,1385362.49
19-02-2010,25,676260.67
19-02-2010,26,999348.55
19-02-2010,27,1945070.33
19-02-2010,28,1491300.42
19-02-2010,29,542399.07
19-02-2010,30,463513.26
19-02-2010,31,1473386.75
19-02-2010,32,1082559.06
19-02-2010,33,296850.83
19-02-2010,34,983963.07
19-02-2010,35,1270658.64
19-02-2010,36,470281.03
19-02-2010,37,510382.5
19-02-2010,38,327237.92
19-02-2010,39,1230591.97
19-02-2010,40,916289.2
19-02-2010,41,1052034.74
19-02-2010,42,508794.87
19-02-2010,43,658997.55
19-02-2010,44,267956.3
19-02-2010,45,841264.04
26-02-2010,1,1409727.59
26-02-2010,2,1865097.27
26-02-2010,3,407204.86
26-02-2010,4,1925728.84
26-02-2010,5,270281.63
26-02-2010,6,1432953.21
26-02-2010,7,496083.24
26-02-2010,8,847592.11
26-02-2010,9,473773.27
26-02-2010,10,2006774.96
26-02-2010,11,1336404.65
26-02-2010,12,1048617.17
26-02-2010,13,1817850.32
26-02-2010,14,2095591.63
26-02-2010,15,564883.2
26-02-2010,16,443242.17
26-02-2010,17,749549.55
26-02-2010,18,1068157.45
26-02-2010,19,1373270.06
26-02-2010,20,1898193.95
26-02-2010,21,749597.24
26-02-2010,22,899761.48
26-02-2010,23,1198709.65
26-02-2010,24,1158722.74
26-02-2010,25,628516.57
26-02-2010,26,855385.01
26-02-2010,27,1390934.27
26-02-2010,28,1542173.33
26-02-2010,29,488417.61
26-02-2010,30,472330.71
26-02-2010,31,1344354.41
26-02-2010,32,1053247.1
26-02-2010,33,284052.77
26-02-2010,34,905756.13
26-02-2010,35,1020651.74
26-02-2010,36,447519.44
26-02-2010,37,513615.82
26-02-2010,38,334222.73
26-02-2010,39,1168582.02
26-02-2010,40,863917.41
26-02-2010,41,991941.73
26-02-2010,42,491510.58
26-02-2010,43,618702.79
26-02-2010,44,273079.07
26-02-2010,45,741891.65
05-03-2010,1,1554806.68
05-03-2010,2,1991013.13
05-03-2010,3,415202.04
05-03-2010,4,1971057.44
05-03-2010,5,288855.71
05-03-2010,6,1601348.82
05-03-2010,7,491419.55
05-03-2010,8,881503.95
05-03-2010,9,507297.88
05-03-2010,10,1987090.09
05-03-2010,11,1426622.65
05-03-2010,12,1077018.27
05-03-2010,13,1939980.43
05-03-2010,14,2237544.75
05-03-2010,15,605325.43
05-03-2010,16,444181.85
05-03-2010,17,783300.05
05-03-2010,18,1179738.5
05-03-2010,19,1495844.57
05-03-2010,20,2119213.72
05-03-2010,21,747444.32
05-03-2010,22,1009201.24
05-03-2010,23,1311175.93
05-03-2010,24,1412387.37
05-03-2010,25,665750.06
05-03-2010,26,1005669.58
05-03-2010,27,1313729.72
05-03-2010,28,1608435.45
05-03-2010,29,535087.91
05-03-2010,30,472591.07
05-03-2010,31,1384870.51
05-03-2010,32,1066566.74
05-03-2010,33,291484.89
05-03-2010,34,918295.79
05-03-2010,35,1162610.27
05-03-2010,36,480203.43
05-03-2010,37,519255.68
05-03-2010,38,372239.89
05-03-2010,39,1266254.21
05-03-2010,40,990152.28
05-03-2010,41,1063557.49
05-03-2010,42,554972.42
05-03-2010,43,658600.05
05-03-2010,44,284617.27
05-03-2010,45,777951.22
12-03-2010,1,1439541.59
12-03-2010,2,1990483.78
12-03-2010,3,384200.69
12-03-2010,4,1894324.09
12-03-2010,5,297293.59
12-03-2010,6,1558621.36
12-03-2010,7,480452.1
12-03-2010,8,860336.16
12-03-2010,9,494145.8
12-03-2010,10,1941346.13
12-03-2010,11,1331883.16
12-03-2010,12,985594.23
12-03-2010,13,1840686.94
12-03-2010,14,2156035.06
12-03-2010,15,604173.59
12-03-2010,16,445393.74
12-03-2010,17,763961.82
12-03-2010,18,1138800.32
12-03-2010,19,1467889.2
12-03-2010,20,2010974.84
12-03-2010,21,712312.89
12-03-2010,22,967187.37
12-03-2010,23,1408082.96
12-03-2010,24,1309340.16
12-03-2010,25,660619.99
12-03-2010,26,963382.09
12-03-2010,27,1925113.12
12-03-2010,28,1326877.11
12-03-2010,29,519042.49
12-03-2010,30,468189.93
12-03-2010,31,1366193.35
12-03-2010,32,1093319.37
12-03-2010,33,312161
12-03-2010,34,921247.88
12-03-2010,35,1150344.39
12-03-2010,36,441434.2
12-03-2010,37,513015.35
12-03-2010,38,342023.92
12-03-2010,39,1244391.83
12-03-2010,40,899352.4
12-03-2010,41,1023997.71
12-03-2010,42,588363.62
12-03-2010,43,645386.94
12-03-2010,44,272190.83
12-03-2010,45,765687.42
19-03-2010,1,1472515.79
19-03-2010,2,1946070.88
19-03-2010,3,375328.59
19-03-2010,4,1897429.36
19-03-2010,5,281706.41
19-03-2010,6,1693058.91
19-03-2010,7,574450.23
19-03-2010,8,839911
19-03-2010,9,485744.61
19-03-2010,10,1946875.06
19-03-2010,11,1364207
19-03-2010,12,972088.34
19-03-2010,13,1879794.89
19-03-2010,14,2066219.3
19-03-2010,15,593710.67
19-03-2010,16,504307.35
19-03-2010,17,752034.52
19-03-2010,18,1087507.47
19-03-2010,19,1332940.35
19-03-2010,20,1951848.43
19-03-2010,21,727070
19-03-2010,22,966145.09
19-03-2010,23,1229008.32
19-03-2010,24,1222511.29
19-03-2010,25,659795.84
19-03-2010,26,903366.55
19-03-2010,27,1700627.97
19-03-2010,28,1279819.43
19-03-2010,29,496851.6
19-03-2010,30,445736.36
19-03-2010,31,1332261.01
19-03-2010,32,1059781.78
19-03-2010,33,282235.73
19-03-2010,34,892070.82
19-03-2010,35,1117536.09
19-03-2010,36,428851.99
19-03-2010,37,460020.74
19-03-2010,38,333025.47
19-03-2010,39,1301590.13
19-03-2010,40,894865.3
19-03-2010,41,1006597.69
19-03-2010,42,519914.1
19-03-2010,43,668098.49
19-03-2010,44,269624.2
19-03-2010,45,773819.49
26-03-2010,1,1404429.92
26-03-2010,2,1750197.81
26-03-2010,3,359949.27
26-03-2010,4,1762539.3
26-03-2010,5,273282.97
26-03-2010,6,1472033.38
26-03-2010,7,514731.6
26-03-2010,8,772539.12
26-03-2010,9,484946.56
26-03-2010,10,1893532.46
26-03-2010,11,1245624.27
26-03-2010,12,981615.81
26-03-2010,13,1882095.98
26-03-2010,14,2050396.27
26-03-2010,15,592111.49
26-03-2010,16,483177.2
26-03-2010,17,793097.64
26-03-2010,18,1092704.09
26-03-2010,19,1427023.45
26-03-2010,20,1894742.95
26-03-2010,21,686497.53
26-03-2010,22,1012075.12
26-03-2010,23,1310701.8
26-03-2010,24,1258311.56
26-03-2010,25,696687.6
26-03-2010,26,893613
26-03-2010,27,1836714.84
26-03-2010,28,1245268.77
26-03-2010,29,552985.34
26-03-2010,30,442457.35
26-03-2010,31,1229635.7
26-03-2010,32,1076021.58
26-03-2010,33,262893.76
26-03-2010,34,880742.35
26-03-2010,35,1078900.44
26-03-2010,36,404438.51
26-03-2010,37,515777.97
26-03-2010,38,335858.11
26-03-2010,39,1235094.66
26-03-2010,40,873354.58
26-03-2010,41,1015196.46
26-03-2010,42,478021.68
26-03-2010,43,623097.93
26-03-2010,44,276279.49
26-03-2010,45,782563.38
02-04-2010,1,1594968.28
02-04-2010,2,2066187.72
02-04-2010,3,423294.4
02-04-2010,4,1979247.12
02-04-2010,5,331406
02-04-2010,6,1770333.9
02-04-2010,7,561145.14
02-04-2010,8,914500.91
02-04-2010,9,545206.32
02-04-2010,10,2138651.97
02-04-2010,11,1446210.26
02-04-2010,12,1011822.3
02-04-2010,13,2142482.14
02-04-2010,14,2495630.51
02-04-2010,15,718470.71
02-04-2010,16,490503.69
02-04-2010,17,848521.17
02-04-2010,18,1254107.84
02-04-2010,19,1642970.27
02-04-2010,20,2405395.22
02-04-2010,21,753664.12
02-04-2010,22,1177340.99
02-04-2010,23,1556627.62
02-04-2010,24,1478321.26
02-04-2010,25,822486.37
02-04-2010,26,1029849.2
02-04-2010,27,2053952.97
02-04-2010,28,1441559.4
02-04-2010,29,599629.25
02-04-2010,30,457884.06
02-04-2010,31,1357600.68
02-04-2010,32,1131732.94
02-04-2010,33,274634.52
02-04-2010,34,979428.66
02-04-2010,35,1189556.47
02-04-2010,36,435972.82
02-04-2010,37,540189.7
02-04-2010,38,368929.55
02-04-2010,39,1463942.62
02-04-2010,40,1041202.13
02-04-2010,41,1168826.39
02-04-2010,42,505907.41
02-04-2010,43,650102.8
02-04-2010,44,286197.5
02-04-2010,45,877235.96
09-04-2010,1,1545418.53
09-04-2010,2,1954689.21
09-04-2010,3,415870.28
09-04-2010,4,1818452.72
09-04-2010,5,328020.49
09-04-2010,6,1667181.82
09-04-2010,7,484263.25
09-04-2010,8,916033.92
09-04-2010,9,529384.31
09-04-2010,10,2041069.37
09-04-2010,11,1470308.32
09-04-2010,12,1041238.87
09-04-2010,13,1898321.33
09-04-2010,14,2258781.28
09-04-2010,15,634605.77
09-04-2010,16,424083.99
09-04-2010,17,770228.02
09-04-2010,18,1174447.55
09-04-2010,19,1489613.32
09-04-2010,20,2007796.26
09-04-2010,21,751181.4
09-04-2010,22,1033171.07
09-04-2010,23,1264434.7
09-04-2010,24,1379579.63
09-04-2010,25,712647.97
09-04-2010,26,1022293.81
09-04-2010,27,1955814.13
09-04-2010,28,1382359.21
09-04-2010,29,569937.23
09-04-2010,30,454800.96
09-04-2010,31,1395710.09
09-04-2010,32,1095889.22
09-04-2010,33,325201.05
09-04-2010,34,950684.2
09-04-2010,35,1198014.97
09-04-2010,36,453016.91
09-04-2010,37,513327.55
09-04-2010,38,341630.46
09-04-2010,39,1327035.27
09-04-2010,40,919839.19
09-04-2010,41,1082158.21
09-04-2010,42,582552.26
09-04-2010,43,693058.34
09-04-2010,44,257361.3
09-04-2010,45,833782.7
16-04-2010,1,1466058.28
16-04-2010,2,1874957.94
16-04-2010,3,354993.26
16-04-2010,4,1851519.69
16-04-2010,5,306858.69
16-04-2010,6,1519846.36
16-04-2010,7,406228.19
16-04-2010,8,882917.12
16-04-2010,9,485764.32
16-04-2010,10,1826241.44
16-04-2010,11,1323243.35
16-04-2010,12,957997.52
16-04-2010,13,1819660.44
16-04-2010,14,2121788.61
16-04-2010,15,641208.65
16-04-2010,16,436312.41
16-04-2010,17,757738.76
16-04-2010,18,1135577.62
16-04-2010,19,1460354.67
16-04-2010,20,1985784.59
16-04-2010,21,716026.51
16-04-2010,22,1000968.67
16-04-2010,23,1288823.72
16-04-2010,24,1268266.72
16-04-2010,25,715311.6
16-04-2010,26,905548.38
16-04-2010,27,1857500.96
16-04-2010,28,1268240.66
16-04-2010,29,509100.84
16-04-2010,30,471054.16
16-04-2010,31,1367448.28
16-04-2010,32,1082763.27
16-04-2010,33,307779.64
16-04-2010,34,923344.54
16-04-2010,35,1084487.55
16-04-2010,36,483699.56
16-04-2010,37,524544.83
16-04-2010,38,337723.49
16-04-2010,39,1242874.98
16-04-2010,40,882636.96
16-04-2010,41,1043388.79
16-04-2010,42,549528.16
16-04-2010,43,675282.2
16-04-2010,44,280048.74
16-04-2010,45,782221.96
23-04-2010,1,1391256.12
23-04-2010,2,1821990.93
23-04-2010,3,339976.65
23-04-2010,4,1802677.9
23-04-2010,5,288839.73
23-04-2010,6,1540435.99
23-04-2010,7,404751.25
23-04-2010,8,850440.26
23-04-2010,9,488683.57
23-04-2010,10,1829521.83
23-04-2010,11,1283766.55
23-04-2010,12,993833.44
23-04-2010,13,1909330.77
23-04-2010,14,2138144.91
23-04-2010,15,643097.6
23-04-2010,16,370230.94
23-04-2010,17,977790.83
23-04-2010,18,1132433.55
23-04-2010,19,1456793.33
23-04-2010,20,1878862.42
23-04-2010,21,718780.59
23-04-2010,22,969594.47
23-04-2010,23,1315023.08
23-04-2010,24,1264117.01
23-04-2010,25,694531.72
23-04-2010,26,881930.87
23-04-2010,27,1850205.47
23-04-2010,28,1244177.21
23-04-2010,29,505329.66
23-04-2010,30,462454.39
23-04-2010,31,1280465.8
23-04-2010,32,1072474.8
23-04-2010,33,263263.02
23-04-2010,34,910240.68
23-04-2010,35,1110827.48
23-04-2010,36,434116.8
23-04-2010,37,527019.78
23-04-2010,38,335121.82
23-04-2010,39,1280231.85
23-04-2010,40,844958.49
23-04-2010,41,1067340.74
23-04-2010,42,492364.77
23-04-2010,43,638957.35
23-04-2010,44,278287.04
23-04-2010,45,749779.1
30-04-2010,1,1425100.71
30-04-2010,2,1802450.29
30-04-2010,3,361248.39
30-04-2010,4,1817273.28
30-04-2010,5,298697.84
30-04-2010,6,1498080.16
30-04-2010,7,373655.61
30-04-2010,8,778672.64
30-04-2010,9,491723.42
30-04-2010,10,1790694.59
30-04-2010,11,1239766.89
30-04-2010,12,954220.22
30-04-2010,13,1785823.37
30-04-2010,14,2082355.12
30-04-2010,15,570791.11
30-04-2010,16,383550.93
30-04-2010,17,807798.73
30-04-2010,18,1060446.16
30-04-2010,19,1405065.57
30-04-2010,20,1919053.21
30-04-2010,21,680532.69
30-04-2010,22,977683.06
30-04-2010,23,1259414.52
30-04-2010,24,1259877.19
30-04-2010,25,706924.02
30-04-2010,26,904503.85
30-04-2010,27,1805885.04
30-04-2010,28,1186971.02
30-04-2010,29,501013.47
30-04-2010,30,456140.34
30-04-2010,31,1243200.24
30-04-2010,32,1066792.63
30-04-2010,33,275883.23
30-04-2010,34,859922.19
30-04-2010,35,1096930.65
30-04-2010,36,457899.64
30-04-2010,37,517850.83
30-04-2010,38,337979.65
30-04-2010,39,1263836.59
30-04-2010,40,816838.31
30-04-2010,41,1063960.11
30-04-2010,42,477615.87
30-04-2010,43,630740.11
30-04-2010,44,272997.65
30-04-2010,45,737265.57
07-05-2010,1,1603955.12
07-05-2010,2,2042581.71
07-05-2010,3,399323.86
07-05-2010,4,2000626.14
07-05-2010,5,333522.6
07-05-2010,6,1619920.04
07-05-2010,7,395453.83
07-05-2010,8,916820.96
07-05-2010,9,526128.61
07-05-2010,10,1921432.16
07-05-2010,11,1312329.78
07-05-2010,12,1043240.27
07-05-2010,13,2005478.46
07-05-2010,14,2370116.52
07-05-2010,15,661348.88
07-05-2010,16,403217.22
07-05-2010,17,843848.65
07-05-2010,18,1222255.47
07-05-2010,19,1566219.77
07-05-2010,20,2137202.38
07-05-2010,21,744969.42
07-05-2010,22,1052973.28
07-05-2010,23,1365552.28
07-05-2010,24,1409705.03
07-05-2010,25,724468.97
07-05-2010,26,1074479.73
07-05-2010,27,1939458.84
07-05-2010,28,1532893.22
07-05-2010,29,568497.35
07-05-2010,30,457883.94
07-05-2010,31,1381796.8
07-05-2010,32,1133657.58
07-05-2010,33,326870.13
07-05-2010,34,953495.48
07-05-2010,35,1182099.88
07-05-2010,36,489372.02
07-05-2010,37,543234.77
07-05-2010,38,383657.44
07-05-2010,39,1355704.21
07-05-2010,40,1009797.06
07-05-2010,41,1175738.22
07-05-2010,42,582846.22
07-05-2010,43,691498.6
07-05-2010,44,285379.86
07-05-2010,45,812190.76
14-05-2010,1,1494251.5
14-05-2010,2,1880752.36
14-05-2010,3,384357.94
14-05-2010,4,1875597.28
14-05-2010,5,296673.77
14-05-2010,6,1524059.4
14-05-2010,7,372673.61
14-05-2010,8,873337.84
14-05-2010,9,492792.8
14-05-2010,10,1808056.41
14-05-2010,11,1266796.13
14-05-2010,12,966054.97
14-05-2010,13,1890273.44
14-05-2010,14,2129771.13
14-05-2010,15,594385.2
14-05-2010,16,401770.9
14-05-2010,17,813756.09
14-05-2010,18,1092616.49
14-05-2010,19,1437319.45
14-05-2010,20,2033211.62
14-05-2010,21,723559.88
14-05-2010,22,973585.33
14-05-2010,23,1303055.09
14-05-2010,24,1346783.35
14-05-2010,25,698073.95
14-05-2010,26,972663.59
14-05-2010,27,1842465.78
14-05-2010,28,1245898.73
14-05-2010,29,518940.88
14-05-2010,30,461868.09
14-05-2010,31,1287288.59
14-05-2010,32,1079314.52
14-05-2010,33,331173.51
14-05-2010,34,933924.44
14-05-2010,35,1104277.57
14-05-2010,36,476733.74
14-05-2010,37,505196.08
14-05-2010,38,346174.3
14-05-2010,39,1226997.7
14-05-2010,40,907262.47
14-05-2010,41,1116439.02
14-05-2010,42,564345.55
14-05-2010,43,690851.59
14-05-2010,44,286515.92
14-05-2010,45,758182.2
21-05-2010,1,1399662.07
21-05-2010,2,1896937.1
21-05-2010,3,343763.17
21-05-2010,4,1903752.6
21-05-2010,5,301615.49
21-05-2010,6,1531938.44
21-05-2010,7,395195.65
21-05-2010,8,818333.21
21-05-2010,9,506274.94
21-05-2010,10,1847613.58
21-05-2010,11,1271646.62
21-05-2010,12,958374.56
21-05-2010,13,1853657.6
21-05-2010,14,2108187.1
21-05-2010,15,616598.1
21-05-2010,16,435300.51
21-05-2010,17,826626.5
21-05-2010,18,1101621.36
21-05-2010,19,1377716.17
21-05-2010,20,1893736.9
21-05-2010,21,753361.72
21-05-2010,22,979977.89
21-05-2010,23,1327424.28
21-05-2010,24,1283482.85
21-05-2010,25,704113.22
21-05-2010,26,986765.01
21-05-2010,27,1836595.58
21-05-2010,28,1217923.71
21-05-2010,29,502021.82
21-05-2010,30,455751.84
21-05-2010,31,1337405.6
21-05-2010,32,1143819.35
21-05-2010,33,294264.2
21-05-2010,34,913616.32
21-05-2010,35,1078182.18
21-05-2010,36,474917.98
21-05-2010,37,510494.7
21-05-2010,38,340497.08
21-05-2010,39,1350673.98
21-05-2010,40,885613.91
21-05-2010,41,1163234.33
21-05-2010,42,504403.16
21-05-2010,43,672062.08
21-05-2010,44,267065.35
21-05-2010,45,747888.25
28-05-2010,1,1432069.95
28-05-2010,2,1957113.89
28-05-2010,3,350089.23
28-05-2010,4,1857533.7
28-05-2010,5,310013.11
28-05-2010,6,1644470.66
28-05-2010,7,442734.55
28-05-2010,8,868041.56
28-05-2010,9,558143.53
28-05-2010,10,1904618.17
28-05-2010,11,1264272.52
28-05-2010,12,955451.16
28-05-2010,13,1877358.86
28-05-2010,14,2227152.16
28-05-2010,15,744772.88
28-05-2010,16,479430
28-05-2010,17,872817.62
28-05-2010,18,1256282.79
28-05-2010,19,1648882.62
28-05-2010,20,2065984.95
28-05-2010,21,755214.26
28-05-2010,22,1103740.4
28-05-2010,23,1571158.56
28-05-2010,24,1473868.15
28-05-2010,25,792442.54
28-05-2010,26,1069851.59
28-05-2010,27,1962468.67
28-05-2010,28,1176588.25
28-05-2010,29,577627.66
28-05-2010,30,462474.16
28-05-2010,31,1309437.17
28-05-2010,32,1205662.85
28-05-2010,33,279246.33
28-05-2010,34,942868.38
28-05-2010,35,1223777.48
28-05-2010,36,447050.42
28-05-2010,37,532241.22
28-05-2010,38,326469.43
28-05-2010,39,1365541.59
28-05-2010,40,1008483.07
28-05-2010,41,1246654.24
28-05-2010,42,484097.03
28-05-2010,43,630315.76
28-05-2010,44,291891.01
28-05-2010,45,801098.43
04-06-2010,1,1615524.71
04-06-2010,2,2102539.93
04-06-2010,3,396968.8
04-06-2010,4,1903290.58
04-06-2010,5,337825.89
04-06-2010,6,1857380.09
04-06-2010,7,509183.22
04-06-2010,8,958225.41
04-06-2010,9,586061.46
04-06-2010,10,1931406.28
04-06-2010,11,1396322.19
04-06-2010,12,1049357.36
04-06-2010,13,2022705.22
04-06-2010,14,2363601.47
04-06-2010,15,693192.5
04-06-2010,16,516295.81
04-06-2010,17,876902.87
04-06-2010,18,1271311.76
04-06-2010,19,1519013.49
04-06-2010,20,2203619.35
04-06-2010,21,806012.48
04-06-2010,22,1095539.13
04-06-2010,23,1514435.51
04-06-2010,24,1566668.91
04-06-2010,25,764155.44
04-06-2010,26,1003202.66
04-06-2010,27,2073102.59
04-06-2010,28,1543678.02
04-06-2010,29,588017.66
04-06-2010,30,458343.7
04-06-2010,31,1427624.5
04-06-2010,32,1149234.96
04-06-2010,33,285100
04-06-2010,34,966187.51
04-06-2010,35,1282378.71
04-06-2010,36,471088.88
04-06-2010,37,479195.02
04-06-2010,38,376184.88
04-06-2010,39,1512207.95
04-06-2010,40,1052429.03
04-06-2010,41,1305068.1
04-06-2010,42,556046.12
04-06-2010,43,682012.53
04-06-2010,44,282351.82
04-06-2010,45,837548.62
11-06-2010,1,1542561.09
11-06-2010,2,2025538.76
11-06-2010,3,355017.09
11-06-2010,4,1870619.23
11-06-2010,5,296641.91
11-06-2010,6,1685652.35
11-06-2010,7,498580.87
11-06-2010,8,914835.86
11-06-2010,9,522715.68
11-06-2010,10,1827521.71
11-06-2010,11,1339570.85
11-06-2010,12,1016039.71
11-06-2010,13,2037880.96
11-06-2010,14,2249570.04
11-06-2010,15,619337.29
11-06-2010,16,535587.31
11-06-2010,17,845252.21
11-06-2010,18,1173521.82
11-06-2010,19,1410683.94
11-06-2010,20,2100489.79
11-06-2010,21,784305.55
11-06-2010,22,1061196.47
11-06-2010,23,1439432.06
11-06-2010,24,1375458.21
11-06-2010,25,737163.2
11-06-2010,26,1073862.59
11-06-2010,27,1873812.93
11-06-2010,28,1348995.17
11-06-2010,29,540716.58
11-06-2010,30,445530.16
11-06-2010,31,1377092.33
11-06-2010,32,1192074.09
11-06-2010,33,310800.79
11-06-2010,34,954681.56
11-06-2010,35,1160412.71
11-06-2010,36,467711.18
11-06-2010,37,481915.11
11-06-2010,38,354828.65
11-06-2010,39,1371405.33
11-06-2010,40,1007574.67
11-06-2010,41,1217199.39
11-06-2010,42,607218.6
11-06-2010,43,684023.95
11-06-2010,44,296818.2
11-06-2010,45,794698.77
18-06-2010,1,1503284.06
18-06-2010,2,2001636.96
18-06-2010,3,364076.85
18-06-2010,4,1929736.35
18-06-2010,5,313795.6
18-06-2010,6,1677248.24
18-06-2010,7,481144.09
18-06-2010,8,869922.56
18-06-2010,9,513073.87
18-06-2010,10,1837636.24
18-06-2010,11,1336522.92
18-06-2010,12,956211.2
18-06-2010,13,2003435.31
18-06-2010,14,2248645.59
18-06-2010,15,652329.53
18-06-2010,16,540149.85
18-06-2010,17,877996.27
18-06-2010,18,1183225.92
18-06-2010,19,1457314.39
18-06-2010,20,2091903.63
18-06-2010,21,785104.29
18-06-2010,22,1052895.25
18-06-2010,23,1507708.93
18-06-2010,24,1354168.18
18-06-2010,25,780444.94
18-06-2010,26,1001286.67
18-06-2010,27,1887182.27
18-06-2010,28,1267619.06
18-06-2010,29,558731.74
18-06-2010,30,447727.52
18-06-2010,31,1368090.08
18-06-2010,32,1150191.72
18-06-2010,33,272399.08
18-06-2010,34,941612.04
18-06-2010,35,1198025.76
18-06-2010,36,485694.72
18-06-2010,37,505761.62
18-06-2010,38,335691.85
18-06-2010,39,1368312.45
18-06-2010,40,973105.3
18-06-2010,41,1202963.06
18-06-2010,42,529418.64
18-06-2010,43,700009.77
18-06-2010,44,293481.36
18-06-2010,45,815130.5
25-06-2010,1,1422711.6
25-06-2010,2,1939927.09
25-06-2010,3,357346.48
25-06-2010,4,1846651.95
25-06-2010,5,295257.3
25-06-2010,6,1640681.88
25-06-2010,7,553714.87
25-06-2010,8,814919.11
25-06-2010,9,509263.28
25-06-2010,10,1768172.31
25-06-2010,11,1262025.08
25-06-2010,12,958007.69
25-06-2010,13,1970340.25
25-06-2010,14,2246179.91
25-06-2010,15,672194.03
25-06-2010,16,546554.96
25-06-2010,17,893995.44
25-06-2010,18,1220983.17
25-06-2010,19,1450407.32
25-06-2010,20,1973135.87
25-06-2010,21,769848.75
25-06-2010,22,1095020.33
25-06-2010,23,1415204.88
25-06-2010,24,1399073.75
25-06-2010,25,737569.14
25-06-2010,26,976242.09
25-06-2010,27,1962625.01
25-06-2010,28,1231025.07
25-06-2010,29,585548.79
25-06-2010,30,453210.24
25-06-2010,31,1303523.73
25-06-2010,32,1124763.74
25-06-2010,33,259419.91
25-06-2010,34,895800.07
25-06-2010,35,1230245.74
25-06-2010,36,434879.87
25-06-2010,37,485419.39
25-06-2010,38,322046.76
25-06-2010,39,1280414.8
25-06-2010,40,940405.03
25-06-2010,41,1174209.52
25-06-2010,42,484327.56
25-06-2010,43,625196.14
25-06-2010,44,288247.24
25-06-2010,45,792299.15
02-07-2010,1,1492418.14
02-07-2010,2,2003940.64
02-07-2010,3,381151.72
02-07-2010,4,1881337.21
02-07-2010,5,305993.27
02-07-2010,6,1759777.25
02-07-2010,7,575570.77
02-07-2010,8,852333.75
02-07-2010,9,528832.54
02-07-2010,10,1845893.87
02-07-2010,11,1302600.14
02-07-2010,12,951957.31
02-07-2010,13,2018314.71
02-07-2010,14,2334788.42
02-07-2010,15,709337.11
02-07-2010,16,610641.42
02-07-2010,17,958875.37
02-07-2010,18,1257928.35
02-07-2010,19,1549018.68
02-07-2010,20,2143676.77
02-07-2010,21,711470.8
